欄位編號,表格名稱,表格中文名稱,欄位名稱,欄位中文名稱,欄位定義說明,資料當責單位,欄位資料型態,欄位類型,Primary Key,KDE關鍵指標,必填/非必填,Business_Group,Technical_Data
10,T_DR_ACCT_SEG,帳戶客群與資產貢獻度月檔,SEGMENT_DESC,今年初客群代碼說明,001 高頻客戶 / 002 超高貢獻客戶 / 003 高貢獻客戶 / 004 高資產客戶 / 005 中貢獻客戶 / 006 低貢獻客戶 / 007 潛力客戶 / 010 富裕客戶 / 012 富裕客戶PIOSU / 013 價值新戶 / 014 潛力 / 015 價值一般 / 016 價值Plus / 017 富裕一般 / 018 富裕PIOSU / 999 無貼標,數據科學部,Varchar,變動字串,非PK,,,標籤庫;衍生性指標;帳戶客群與資產貢獻度月檔;今年初客群代碼說明,fbsods;mdm_sec;MDM_SEC;T_DR_ACCT_SEG;SEGMENT_DESC
11,T_DR_ACCT_SEG,帳戶客群與資產貢獻度月檔,C_SEGMENT_CODE,今年初ABC客群代碼,無提供,數據科學部,Varchar,變動字串,非PK,,,標籤庫;衍生性指標;帳戶客群與資產貢獻度月檔;今年初ABC客群代碼,fbsods;mdm_sec;MDM_SEC;T_DR_ACCT_SEG;C_SEGMENT_CODE
12,T_DR_ACCT_SEG,帳戶客群與資產貢獻度月檔,C_SEGMENT_DESC,今年初ABC客群代碼說明,無提供,數據科學部,Varchar,變動字串,非PK,,,標籤庫;衍生性指標;帳戶客群與資產貢獻度月檔;今年初ABC客群代碼說明,fbsods;mdm_sec;MDM_SEC;T_DR_ACCT_SEG;C_SEGMENT_DESC
13,T_DR_ACCT_SEG,帳戶客群與資產貢獻度月檔,BF_SEGMENT_CODE,去年初客群代碼,無提供,數據科學部,Varchar,變動字串,非PK,,,標籤庫;衍生性指標;帳戶客群與資產貢獻度月檔;去年初客群代碼,fbsods;mdm_sec;MDM_SEC;T_DR_ACCT_SEG;BF_SEGMENT_CODE
14,T_DR_ACCT_SEG,帳戶客群與資產貢獻度月檔,BF_SEGMENT_DESC,去年初客群代碼說明,無提供,數據科學部,Varchar,變動字串,非PK,,,標籤庫;衍生性指標;帳戶客群與資產貢獻度月檔;去年初客群代碼說明,fbsods;mdm_sec;MDM_SEC;T_DR_ACCT_SEG;BF_SEGMENT_DESC
15,T_DR_ACCT_SEG,帳戶客群與資產貢獻度月檔,BF_C_SEGMENT_CODE,去年初ABC客群代碼,無提供,數據科學部,Varchar,變動字串,非PK,,,標籤庫;衍生性指標;帳戶客群與資產貢獻度月檔;去年初ABC客群代碼,fbsods;mdm_sec;MDM_SEC;T_DR_ACCT_SEG;BF_C_SEGMENT_CODE
16,T_DR_ACCT_SEG,帳戶客群與資產貢獻度月檔,BF_C_SEGMENT_DESC,去年初ABC客群代碼說明,無提供,數據科學部,Varchar,變動字串,非PK,,,標籤庫;衍生性指標;帳戶客群與資產貢獻度月檔;去年初ABC客群代碼說明,fbsods;mdm_sec;MDM_SEC;T_DR_ACCT_SEG;BF_C_SEGMENT_DESC
17,T_DR_ACCT_SEG,帳戶客群與資產貢獻度月檔,NW_SEGMENT_CODE,現況客群代碼,"客群企劃部對客戶的貼標，最近一次計算之最新客群代碼
001 高頻客戶 / 002 超高貢獻客戶 / 003 高貢獻客戶 / 004 高資產客戶 / 005 中貢獻客戶 / 006 低貢獻客戶 / 007 潛力客戶 / 010 富裕客戶 / 012 富裕客戶PIOSU / 013 價值新戶 / 014 潛力 / 015 價值一般 / 016 價值Plus / 017 富裕一般 / 018 富裕PIOSU / 999 無貼標",數據科學部,Varchar,變動字串,非PK,,,標籤庫;衍生性指標;帳戶客群與資產貢獻度月檔;現況客群代碼,fbsods;mdm_sec;MDM_SEC;T_DR_ACCT_SEG;NW_SEGMENT_CODE
18,T_DR_ACCT_SEG,帳戶客群與資產貢獻度月檔,NW_SEGMENT_DESC,現況客群說明,001 高頻客戶 / 002 超高貢獻客戶 / 003 高貢獻客戶 / 004 高資產客戶 / 005 中貢獻客戶 / 006 低貢獻客戶 / 007 潛力客戶 / 010 富裕客戶 / 012 富裕客戶PIOSU / 013 價值新戶 / 014 潛力 / 015 價值一般 / 016 價值Plus / 017 富裕一般 / 018 富裕PIOSU / 999 無貼標,數據科學部,Varchar,變動字串,非PK,,,標籤庫;衍生性指標;帳戶客群與資產貢獻度月檔;現況客群說明,fbsods;mdm_sec;MDM_SEC;T_DR_ACCT_SEG;NW_SEGMENT_DESC
19,T_DR_ACCT_SEG,帳戶客群與資產貢獻度月檔,FUTURE_BUY_TXN_QTY,期貨買進口數,期貨買進口數,數據科學部,Num,數字,非PK,,,標籤庫;衍生性指標;帳戶客群與資產貢獻度月檔;期貨買進口數,fbsods;mdm_sec;MDM_SEC;T_DR_ACCT_SEG;FUTURE_BUY_TXN_QTY
20,T_DR_ACCT_SEG,帳戶客群與資產貢獻度月檔,FUTURE_SELL_TXN_QTY,期貨賣出口數,期貨賣出口數,數據科學部,Num,數字,非PK,,,標籤庫;衍生性指標;帳戶客群與資產貢獻度月檔;期貨賣出口數,fbsods;mdm_sec;MDM_SEC;T_DR_ACCT_SEG;FUTURE_SELL_TXN_QTY
21,T_DR_ACCT_SEG,帳戶客群與資產貢獻度月檔,TXN_AMT_TWD,總交易金額(台幣),合計各商品之當年一月至本月交易金額，加總計算之商品種類可參考M_AC_ACCOUNT_PROD_TXN的PROD_MTYPE_CODE欄位,數據科學部,Num,數字,非PK,,,標籤庫;衍生性指標;帳戶客群與資產貢獻度月檔;總交易金額(台幣),fbsods;mdm_sec;MDM_SEC;T_DR_ACCT_SEG;TXN_AMT_TWD
22,T_DR_ACCT_SEG,帳戶客群與資產貢獻度月檔,ASS_AMT_TWD,總資產金額(台幣),合計各商品之當年一月至本月資產均額，加總計算之商品種類可參考M_AC_ACCOUNT_ASSET的ASSET_CODE欄位,數據科學部,Num,數字,非PK,,,標籤庫;衍生性指標;帳戶客群與資產貢獻度月檔;總資產金額(台幣),fbsods;mdm_sec;MDM_SEC;T_DR_ACCT_SEG;ASS_AMT_TWD
23,T_DR_ACCT_SEG,帳戶客群與資產貢獻度月檔,REV_AMT_TWD,總貢獻度金額(台幣),合計各商品之累計當年一月至本月之貢獻度，加總計算之商品種類可參考M_AC_ACCOUNT_REVENUE的REV_CODE欄位,數據科學部,Num,數字,非PK,,,標籤庫;衍生性指標;帳戶客群與資產貢獻度月檔;總貢獻度金額(台幣),fbsods;mdm_sec;MDM_SEC;T_DR_ACCT_SEG;REV_AMT_TWD
24,T_DR_ACCT_SEG,帳戶客群與資產貢獻度月檔,T_SC_ASS_AMT_TWD,現股資產金額(台幣),當年一至本月資產均額，每月日均，累計每月均額,數據科學部,Num,數字,非PK,,,標籤庫;衍生性指標;帳戶客群與資產貢獻度月檔;現股資產金額(台幣),fbsods;mdm_sec;MDM_SEC;T_DR_ACCT_SEG;T_SC_ASS_AMT_TWD
25,T_DR_ACCT_SEG,帳戶客群與資產貢獻度月檔,T_ML_ASS_AMT_TWD,融資資產金額(台幣),當年一至本月資產均額，每月月底，累計每月均額,數據科學部,Num,數字,非PK,,,標籤庫;衍生性指標;帳戶客群與資產貢獻度月檔;融資資產金額(台幣),fbsods;mdm_sec;MDM_SEC;T_DR_ACCT_SEG;T_ML_ASS_AMT_TWD
26,T_DR_ACCT_SEG,帳戶客群與資產貢獻度月檔,T_SL_ASS_AMT_TWD,融券資產金額(台幣),當年一至本月資產均額，每月月底，累計每月均額,數據科學部,Num,數字,非PK,,,標籤庫;衍生性指標;帳戶客群與資產貢獻度月檔;融券資產金額(台幣),fbsods;mdm_sec;MDM_SEC;T_DR_ACCT_SEG;T_SL_ASS_AMT_TWD
27,T_DR_ACCT_SEG,帳戶客群與資產貢獻度月檔,T_MF_ASS_AMT_TWD,集保基金資產金額(台幣),當年一至本月資產均額，每月月底，累計每月均額,數據科學部,Num,數字,非PK,,,標籤庫;衍生性指標;帳戶客群與資產貢獻度月檔;集保基金資產金額(台幣),fbsods;mdm_sec;MDM_SEC;T_DR_ACCT_SEG;T_MF_ASS_AMT_TWD
28,T_DR_ACCT_SEG,帳戶客群與資產貢獻度月檔,T_BL_ASS_AMT_TWD,出借資產金額(台幣),當年一至本月資產均額，每月月底，累計每月均額,數據科學部,Num,數字,非PK,,,標籤庫;衍生性指標;帳戶客群與資產貢獻度月檔;出借資產金額(台幣),fbsods;mdm_sec;MDM_SEC;T_DR_ACCT_SEG;T_BL_ASS_AMT_TWD
29,T_DR_ACCT_SEG,帳戶客群與資產貢獻度月檔,T_UL_ASS_AMT_TWD,不限用途資產金額(台幣),當年一至本月資產均額，每月月底，累計每月均額,數據科學部,Num,數字,非PK,,,標籤庫;衍生性指標;帳戶客群與資產貢獻度月檔;不限用途資產金額(台幣),fbsods;mdm_sec;MDM_SEC;T_DR_ACCT_SEG;T_UL_ASS_AMT_TWD
30,T_DR_ACCT_SEG,帳戶客群與資產貢獻度月檔,T_CL_ASS_AMT_TWD,資金管理帳戶資產金額(台幣),當年一至本月資產均額，每月月底，累計每月均額,數據科學部,Num,數字,非PK,,,標籤庫;衍生性指標;帳戶客群與資產貢獻度月檔;資金管理帳戶資產金額(台幣),fbsods;mdm_sec;MDM_SEC;T_DR_ACCT_SEG;T_CL_ASS_AMT_TWD
31,T_DR_ACCT_SEG,帳戶客群與資產貢獻度月檔,F_SC_ASS_AMT_TWD,海外股票資產金額(台幣),當年一至本月資產均額，每月月底，累計每月均額,數據科學部,Num,數字,非PK,,,標籤庫;衍生性指標;帳戶客群與資產貢獻度月檔;海外股票資產金額(台幣),fbsods;mdm_sec;MDM_SEC;T_DR_ACCT_SEG;F_SC_ASS_AMT_TWD
32,T_DR_ACCT_SEG,帳戶客群與資產貢獻度月檔,F_ML_ASS_AMT_TWD,海外股票信用資產金額(台幣),當年一至本月資產均額，每月月底，累計每月均額,數據科學部,Num,數字,非PK,,,標籤庫;衍生性指標;帳戶客群與資產貢獻度月檔;海外股票信用資產金額(台幣),fbsods;mdm_sec;MDM_SEC;T_DR_ACCT_SEG;F_ML_ASS_AMT_TWD
33,T_DR_ACCT_SEG,帳戶客群與資產貢獻度月檔,F_MF_ASS_AMT_TWD,境外基金資產金額(台幣),當年一至本月資產均額，每月月底，累計每月均額,數據科學部,Num,數字,非PK,,,標籤庫;衍生性指標;帳戶客群與資產貢獻度月檔;境外基金資產金額(台幣),fbsods;mdm_sec;MDM_SEC;T_DR_ACCT_SEG;F_MF_ASS_AMT_TWD
34,T_DR_ACCT_SEG,帳戶客群與資產貢獻度月檔,F_BD_ASS_AMT_TWD,海外債券資產金額(台幣),當年一至本月資產均額，每月月底，累計每月均額,數據科學部,Num,數字,非PK,,,標籤庫;衍生性指標;帳戶客群與資產貢獻度月檔;海外債券資產金額(台幣),fbsods;mdm_sec;MDM_SEC;T_DR_ACCT_SEG;F_BD_ASS_AMT_TWD
35,T_DR_ACCT_SEG,帳戶客群與資產貢獻度月檔,F_BL_ASS_AMT_TWD,海外債券信用資產金額(台幣),當年一至本月資產均額，每月月底，累計每月均額,數據科學部,Num,數字,非PK,,,標籤庫;衍生性指標;帳戶客群與資產貢獻度月檔;海外債券信用資產金額(台幣),fbsods;mdm_sec;MDM_SEC;T_DR_ACCT_SEG;F_BL_ASS_AMT_TWD
36,T_DR_ACCT_SEG,帳戶客群與資產貢獻度月檔,F_SN_ASS_AMT_TWD,境外結構型商品資產金額(台幣),當年一至本月資產均額，每月月底，累計每月均額,數據科學部,Num,數字,非PK,,,標籤庫;衍生性指標;帳戶客群與資產貢獻度月檔;境外結構型商品資產金額(台幣),fbsods;mdm_sec;MDM_SEC;T_DR_ACCT_SEG;F_SN_ASS_AMT_TWD
37,T_DR_ACCT_SEG,帳戶客群與資產貢獻度月檔,U_FC_ASS_AMT_TWD,國內期貨選擇權資產金額(台幣),當年一至本月資產均額，每月月底，累計每月均額,數據科學部,Num,數字,非PK,,,標籤庫;衍生性指標;帳戶客群與資產貢獻度月檔;國內期貨選擇權資產金額(台幣),fbsods;mdm_sec;MDM_SEC;T_DR_ACCT_SEG;U_FC_ASS_AMT_TWD
38,T_DR_ACCT_SEG,帳戶客群與資產貢獻度月檔,U_FF_ASS_AMT_TWD,海外期貨資產金額(台幣),當年一至本月資產均額，每月月底，累計每月均額,數據科學部,Num,數字,非PK,,,標籤庫;衍生性指標;帳戶客群與資產貢獻度月檔;海外期貨資產金額(台幣),fbsods;mdm_sec;MDM_SEC;T_DR_ACCT_SEG;U_FF_ASS_AMT_TWD
39,T_DR_ACCT_SEG,帳戶客群與資產貢獻度月檔,W_MF_ASS_AMT_TWD,特定金錢信託國內資產金額(台幣),當年一至本月資產均額，每月月底，累計每月均額,數據科學部,Num,數字,非PK,,,標籤庫;衍生性指標;帳戶客群與資產貢獻度月檔;特定金錢信託國內資產金額(台幣),fbsods;mdm_sec;MDM_SEC;T_DR_ACCT_SEG;W_MF_ASS_AMT_TWD
40,T_DR_ACCT_SEG,帳戶客群與資產貢獻度月檔,W_FF_ASS_AMT_TWD,特定金錢信託國外資產金額(台幣),當年一至本月資產均額，每月月底，累計每月均額,數據科學部,Num,數字,非PK,,,標籤庫;衍生性指標;帳戶客群與資產貢獻度月檔;特定金錢信託國外資產金額(台幣),fbsods;mdm_sec;MDM_SEC;T_DR_ACCT_SEG;W_FF_ASS_AMT_TWD
41,T_DR_ACCT_SEG,帳戶客群與資產貢獻度月檔,W_SB_ASS_AMT_TWD,借券信託資產金額(台幣),當年一至本月資產均額，每月月底，累計每月均額,數據科學部,Num,數字,非PK,,,標籤庫;衍生性指標;帳戶客群與資產貢獻度月檔;借券信託資產金額(台幣),fbsods;mdm_sec;MDM_SEC;T_DR_ACCT_SEG;W_SB_ASS_AMT_TWD
42,T_DR_ACCT_SEG,帳戶客群與資產貢獻度月檔,W_DP_ASS_AMT_TWD,信託銀行存款資產金額(台幣),當年一至本月資產均額，每月月底，累計每月均額,數據科學部,Num,數字,非PK,,,標籤庫;衍生性指標;帳戶客群與資產貢獻度月檔;信託銀行存款資產金額(台幣),fbsods;mdm_sec;MDM_SEC;T_DR_ACCT_SEG;W_DP_ASS_AMT_TWD
43,T_DR_ACCT_SEG,帳戶客群與資產貢獻度月檔,N_SC_ASS_AMT_TWD,衍生性商品台幣結構型資產金額(台幣),當年一至本月資產均額，每月月底，累計每月均額,數據科學部,Num,數字,非PK,,,標籤庫;衍生性指標;帳戶客群與資產貢獻度月檔;衍生性商品台幣結構型資產金額(台幣),fbsods;mdm_sec;MDM_SEC;T_DR_ACCT_SEG;N_SC_ASS_AMT_TWD
44,T_DR_ACCT_SEG,帳戶客群與資產貢獻度月檔,N_SF_ASS_AMT_TWD,衍生性商品外幣結構型資產金額(台幣),當年一至本月資產均額，每月月底，累計每月均額,數據科學部,Num,數字,非PK,,,標籤庫;衍生性指標;帳戶客群與資產貢獻度月檔;衍生性商品外幣結構型資產金額(台幣),fbsods;mdm_sec;MDM_SEC;T_DR_ACCT_SEG;N_SF_ASS_AMT_TWD
45,T_DR_ACCT_SEG,帳戶客群與資產貢獻度月檔,N_CP_ASS_AMT_TWD,衍生性商品資產交換選擇權資產金額(台幣),當年一至本月資產均額，每月月底，累計每月均額,數據科學部,Num,數字,非PK,,,標籤庫;衍生性指標;帳戶客群與資產貢獻度月檔;衍生性商品資產交換選擇權資產金額(台幣),fbsods;mdm_sec;MDM_SEC;T_DR_ACCT_SEG;N_CP_ASS_AMT_TWD
46,T_DR_ACCT_SEG,帳戶客群與資產貢獻度月檔,T_SC_REV_AMT_TWD,現股貢獻度金額(台幣),當年一至本月累計現股貢獻度金額,數據科學部,Num,數字,非PK,,,標籤庫;衍生性指標;帳戶客群與資產貢獻度月檔;現股貢獻度金額(台幣),fbsods;mdm_sec;MDM_SEC;T_DR_ACCT_SEG;T_SC_REV_AMT_TWD
47,T_DR_ACCT_SEG,帳戶客群與資產貢獻度月檔,T_ML_REV_AMT_TWD,融資貢獻度金額(台幣),當年一至本月累計融資貢獻度金額,數據科學部,Num,數字,非PK,,,標籤庫;衍生性指標;帳戶客群與資產貢獻度月檔;融資貢獻度金額(台幣),fbsods;mdm_sec;MDM_SEC;T_DR_ACCT_SEG;T_ML_REV_AMT_TWD
48,T_DR_ACCT_SEG,帳戶客群與資產貢獻度月檔,T_SL_REV_AMT_TWD,融券貢獻度金額(台幣),當年一至本月累計融券貢獻度金額,數據科學部,Num,數字,非PK,,,標籤庫;衍生性指標;帳戶客群與資產貢獻度月檔;融券貢獻度金額(台幣),fbsods;mdm_sec;MDM_SEC;T_DR_ACCT_SEG;T_SL_REV_AMT_TWD
49,T_DR_ACCT_SEG,帳戶客群與資產貢獻度月檔,T_MF_REV_AMT_TWD,集保基金貢獻度金額(台幣),當年一至本月累計集保基金貢獻度金額,數據科學部,Num,數字,非PK,,,標籤庫;衍生性指標;帳戶客群與資產貢獻度月檔;集保基金貢獻度金額(台幣),fbsods;mdm_sec;MDM_SEC;T_DR_ACCT_SEG;T_MF_REV_AMT_TWD
50,T_DR_ACCT_SEG,帳戶客群與資產貢獻度月檔,T_BL_REV_AMT_TWD,出借貢獻度金額(台幣),當年一至本月累計出借貢獻度金額,數據科學部,Num,數字,非PK,,,標籤庫;衍生性指標;帳戶客群與資產貢獻度月檔;出借貢獻度金額(台幣),fbsods;mdm_sec;MDM_SEC;T_DR_ACCT_SEG;T_BL_REV_AMT_TWD
51,T_DR_ACCT_SEG,帳戶客群與資產貢獻度月檔,T_UL_REV_AMT_TWD,不限用途貢獻度金額(台幣),當年一至本月累計不限用途貢獻度金額,數據科學部,Num,數字,非PK,,,標籤庫;衍生性指標;帳戶客群與資產貢獻度月檔;不限用途貢獻度金額(台幣),fbsods;mdm_sec;MDM_SEC;T_DR_ACCT_SEG;T_UL_REV_AMT_TWD
52,T_DR_ACCT_SEG,帳戶客群與資產貢獻度月檔,T_RB_REV_AMT_TWD,承銷申購貢獻度金額(台幣),當年一至本月累計承銷申購貢獻度金額,數據科學部,Num,數字,非PK,,,標籤庫;衍生性指標;帳戶客群與資產貢獻度月檔;承銷申購貢獻度金額(台幣),fbsods;mdm_sec;MDM_SEC;T_DR_ACCT_SEG;T_RB_REV_AMT_TWD
53,T_DR_ACCT_SEG,帳戶客群與資產貢獻度月檔,T_RS_REV_AMT_TWD,承銷競拍貢獻度金額(台幣),當年一至本月累計承銷競拍貢獻度金額,數據科學部,Num,數字,非PK,,,標籤庫;衍生性指標;帳戶客群與資產貢獻度月檔;承銷競拍貢獻度金額(台幣),fbsods;mdm_sec;MDM_SEC;T_DR_ACCT_SEG;T_RS_REV_AMT_TWD
54,T_DR_ACCT_SEG,帳戶客群與資產貢獻度月檔,F_SC_REV_AMT_TWD,海外股票貢獻度金額(台幣),當年一至本月累計海外股票貢獻度金額,數據科學部,Num,數字,非PK,,,標籤庫;衍生性指標;帳戶客群與資產貢獻度月檔;海外股票貢獻度金額(台幣),fbsods;mdm_sec;MDM_SEC;T_DR_ACCT_SEG;F_SC_REV_AMT_TWD
55,T_DR_ACCT_SEG,帳戶客群與資產貢獻度月檔,F_MF_REV_AMT_TWD,境外基金貢獻度金額(台幣),當年一至本月累計境外基金貢獻度金額,數據科學部,Num,數字,非PK,,,標籤庫;衍生性指標;帳戶客群與資產貢獻度月檔;境外基金貢獻度金額(台幣),fbsods;mdm_sec;MDM_SEC;T_DR_ACCT_SEG;F_MF_REV_AMT_TWD
56,T_DR_ACCT_SEG,帳戶客群與資產貢獻度月檔,F_BD_REV_AMT_TWD,海外債券貢獻度金額(台幣),當年一至本月累計海外債券貢獻度金額,數據科學部,Num,數字,非PK,,,標籤庫;衍生性指標;帳戶客群與資產貢獻度月檔;海外債券貢獻度金額(台幣),fbsods;mdm_sec;MDM_SEC;T_DR_ACCT_SEG;F_BD_REV_AMT_TWD
57,T_DR_ACCT_SEG,帳戶客群與資產貢獻度月檔,F_SN_REV_AMT_TWD,境外結構型商品貢獻度金額(台幣),當年一至本月累計境外結構型商品貢獻度金額,數據科學部,Num,數字,非PK,,,標籤庫;衍生性指標;帳戶客群與資產貢獻度月檔;境外結構型商品貢獻度金額(台幣),fbsods;mdm_sec;MDM_SEC;T_DR_ACCT_SEG;F_SN_REV_AMT_TWD
58,T_DR_ACCT_SEG,帳戶客群與資產貢獻度月檔,U_FC_REV_AMT_TWD,國內期貨交易貢獻度金額(台幣),當年一至本月累計國內期貨交易貢獻度金額,數據科學部,Num,數字,非PK,,,標籤庫;衍生性指標;帳戶客群與資產貢獻度月檔;國內期貨交易貢獻度金額(台幣),fbsods;mdm_sec;MDM_SEC;T_DR_ACCT_SEG;U_FC_REV_AMT_TWD
59,T_DR_ACCT_SEG,帳戶客群與資產貢獻度月檔,U_FF_REV_AMT_TWD,國外期貨交易貢獻度金額(台幣),當年一至本月累計國外期貨交易貢獻度金額,數據科學部,Num,數字,非PK,,,標籤庫;衍生性指標;帳戶客群與資產貢獻度月檔;國外期貨交易貢獻度金額(台幣),fbsods;mdm_sec;MDM_SEC;T_DR_ACCT_SEG;U_FF_REV_AMT_TWD
60,T_DR_ACCT_SEG,帳戶客群與資產貢獻度月檔,U_FP_REV_AMT_TWD,國內選擇權交易貢獻度金額(台幣),當年一至本月累計國內選擇權交易貢獻度金額,數據科學部,Num,數字,非PK,,,標籤庫;衍生性指標;帳戶客群與資產貢獻度月檔;國內選擇權交易貢獻度金額(台幣),fbsods;mdm_sec;MDM_SEC;T_DR_ACCT_SEG;U_FP_REV_AMT_TWD
61,T_DR_ACCT_SEG,帳戶客群與資產貢獻度月檔,U_FS_REV_AMT_TWD,國外選擇權交易貢獻度金額(台幣),當年一至本月累計國外選擇權交易貢獻度金額,數據科學部,Num,數字,非PK,,,標籤庫;衍生性指標;帳戶客群與資產貢獻度月檔;國外選擇權交易貢獻度金額(台幣),fbsods;mdm_sec;MDM_SEC;T_DR_ACCT_SEG;U_FS_REV_AMT_TWD
62,T_DR_ACCT_SEG,帳戶客群與資產貢獻度月檔,W_MF_REV_AMT_TWD,特定金錢信託基金貢獻度金額(台幣),當年一至本月累計特定金錢信託基金貢獻度金額,數據科學部,Num,數字,非PK,,,標籤庫;衍生性指標;帳戶客群與資產貢獻度月檔;特定金錢信託基金貢獻度金額(台幣),fbsods;mdm_sec;MDM_SEC;T_DR_ACCT_SEG;W_MF_REV_AMT_TWD
63,T_DR_ACCT_SEG,帳戶客群與資產貢獻度月檔,W_AF_REV_AMT_TWD,特定金錢信託後收型基金貢獻度金額(台幣),當年一至本月累計特定金錢信託後收型基金貢獻度金額,數據科學部,Num,數字,非PK,,,標籤庫;衍生性指標;帳戶客群與資產貢獻度月檔;特定金錢信託後收型基金貢獻度金額(台幣),fbsods;mdm_sec;MDM_SEC;T_DR_ACCT_SEG;W_AF_REV_AMT_TWD
64,T_DR_ACCT_SEG,帳戶客群與資產貢獻度月檔,W_SB_REV_AMT_TWD,借券信託貢獻度金額(台幣),當年一至本月累計借券信託貢獻度金額,數據科學部,Num,數字,非PK,,,標籤庫;衍生性指標;帳戶客群與資產貢獻度月檔;借券信託貢獻度金額(台幣),fbsods;mdm_sec;MDM_SEC;T_DR_ACCT_SEG;W_SB_REV_AMT_TWD
65,T_DR_ACCT_SEG,帳戶客群與資產貢獻度月檔,N_SN_REV_AMT_TWD,衍生性商品台幣結構型貢獻度金額(台幣),當年一至本月累計衍生性商品台幣結構型貢獻度金額,數據科學部,Num,數字,非PK,,,標籤庫;衍生性指標;帳戶客群與資產貢獻度月檔;衍生性商品台幣結構型貢獻度金額(台幣),fbsods;mdm_sec;MDM_SEC;T_DR_ACCT_SEG;N_SN_REV_AMT_TWD
66,T_DR_ACCT_SEG,帳戶客群與資產貢獻度月檔,L_LF_REV_AMT_TWD,壽險貢獻度金額(台幣),當年一至本月累計壽險貢獻度金額,數據科學部,Num,數字,非PK,,,標籤庫;衍生性指標;帳戶客群與資產貢獻度月檔;壽險貢獻度金額(台幣),fbsods;mdm_sec;MDM_SEC;T_DR_ACCT_SEG;L_LF_REV_AMT_TWD
67,T_DR_ACCT_SEG,帳戶客群與資產貢獻度月檔,T_SC_TXN_AMT_TWD,現股交易金額(台幣),當年一至本月累計現股交易金額,數據科學部,Num,數字,非PK,,,標籤庫;衍生性指標;帳戶客群與資產貢獻度月檔;現股交易金額(台幣),fbsods;mdm_sec;MDM_SEC;T_DR_ACCT_SEG;T_SC_TXN_AMT_TWD
68,T_DR_ACCT_SEG,帳戶客群與資產貢獻度月檔,T_SC_DL_TXN_AMT_TWD,現股當沖交易金額(台幣),當年一至本月累計現股當沖交易金額,數據科學部,Num,數字,非PK,,,標籤庫;衍生性指標;帳戶客群與資產貢獻度月檔;現股當沖交易金額(台幣),fbsods;mdm_sec;MDM_SEC;T_DR_ACCT_SEG;T_SC_DL_TXN_AMT_TWD
69,T_DR_ACCT_SEG,帳戶客群與資產貢獻度月檔,T_ML_TXN_AMT_TWD,融資交易金額(台幣),當年一至本月累計融資交易金額,數據科學部,Num,數字,非PK,,,標籤庫;衍生性指標;帳戶客群與資產貢獻度月檔;融資交易金額(台幣),fbsods;mdm_sec;MDM_SEC;T_DR_ACCT_SEG;T_ML_TXN_AMT_TWD
70,T_DR_ACCT_SEG,帳戶客群與資產貢獻度月檔,T_ML_DL_TXN_AMT_TWD,融資當沖交易金額(台幣),當年一至本月累計融資當沖交易金額,數據科學部,Num,數字,非PK,,,標籤庫;衍生性指標;帳戶客群與資產貢獻度月檔;融資當沖交易金額(台幣),fbsods;mdm_sec;MDM_SEC;T_DR_ACCT_SEG;T_ML_DL_TXN_AMT_TWD
71,T_DR_ACCT_SEG,帳戶客群與資產貢獻度月檔,T_SL_TXN_AMT_TWD,融券交易金額(台幣),當年一至本月累計融券交易金額,數據科學部,Num,數字,非PK,,,標籤庫;衍生性指標;帳戶客群與資產貢獻度月檔;融券交易金額(台幣),fbsods;mdm_sec;MDM_SEC;T_DR_ACCT_SEG;T_SL_TXN_AMT_TWD
72,T_DR_ACCT_SEG,帳戶客群與資產貢獻度月檔,T_SL_DL_TXN_AMT_TWD,融券當沖交易金額(台幣),當年一至本月累計融券當沖交易金額,數據科學部,Num,數字,非PK,,,標籤庫;衍生性指標;帳戶客群與資產貢獻度月檔;融券當沖交易金額(台幣),fbsods;mdm_sec;MDM_SEC;T_DR_ACCT_SEG;T_SL_DL_TXN_AMT_TWD
73,T_DR_ACCT_SEG,帳戶客群與資產貢獻度月檔,T_MF_TXN_AMT_TWD,集保基金交易金額(台幣),當年一至本月累計集保基金交易金額,數據科學部,Num,數字,非PK,,,標籤庫;衍生性指標;帳戶客群與資產貢獻度月檔;集保基金交易金額(台幣),fbsods;mdm_sec;MDM_SEC;T_DR_ACCT_SEG;T_MF_TXN_AMT_TWD
74,T_DR_ACCT_SEG,帳戶客群與資產貢獻度月檔,T_BL_TXN_AMT_TWD,出借交易金額(台幣),當年一至本月累計出借交易金額,數據科學部,Num,數字,非PK,,,標籤庫;衍生性指標;帳戶客群與資產貢獻度月檔;出借交易金額(台幣),fbsods;mdm_sec;MDM_SEC;T_DR_ACCT_SEG;T_BL_TXN_AMT_TWD
75,T_DR_ACCT_SEG,帳戶客群與資產貢獻度月檔,T_UL_TXN_AMT_TWD,不限用途交易金額(台幣),當年一至本月累計不限用途交易金額,數據科學部,Num,數字,非PK,,,標籤庫;衍生性指標;帳戶客群與資產貢獻度月檔;不限用途交易金額(台幣),fbsods;mdm_sec;MDM_SEC;T_DR_ACCT_SEG;T_UL_TXN_AMT_TWD
