欄位編號,表格名稱,表格中文名稱,欄位名稱,欄位中文名稱,欄位定義說明,資料當責單位,欄位資料型態,欄位類型,Primary Key,KDE關鍵指標,必填/非必填,Business_Group,Technical_Data
54,M_RF_SN,結構型商品資料檔,LINK_STOCK3_CODE,連結標的代碼3,連結標的代碼3，相關商品為境外結構型、境內結構型_台幣、境內結構型_外幣,財管商品部,Varchar,變動字串,非PK,,,主數據庫;類別參照;結構型商品資料檔;連結標的代碼3,fbsods;mdm_sec;MDM_SEC;M_RF_SN;LINK_STOCK3_CODE
55,M_RF_SN,結構型商品資料檔,LINK_STOCK4_CODE,連結標的代碼4,連結標的代碼4，相關商品為境外結構型,財管商品部,Varchar,變動字串,非PK,,,主數據庫;類別參照;結構型商品資料檔;連結標的代碼4,fbsods;mdm_sec;MDM_SEC;M_RF_SN;LINK_STOCK4_CODE
56,M_RF_SN,結構型商品資料檔,LINK_STOCK5_CODE,連結標的代碼5,連結標的代碼5，相關商品為境外結構型,財管商品部,Varchar,變動字串,非PK,,,主數據庫;類別參照;結構型商品資料檔;連結標的代碼5,fbsods;mdm_sec;MDM_SEC;M_RF_SN;LINK_STOCK5_CODE
57,M_RF_SN,結構型商品資料檔,LINK_STOCK1_BEGIN_PRICE,初期價格1,初期價格1，相關商品為境外結構型、境內結構型_台幣、境內結構型_外幣,財管商品部,Num,數字,非PK,,,主數據庫;類別參照;結構型商品資料檔;初期價格1,fbsods;mdm_sec;MDM_SEC;M_RF_SN;LINK_STOCK1_BEGIN_PRICE
58,M_RF_SN,結構型商品資料檔,LINK_STOCK2_BEGIN_PRICE,初期價格2,初期價格2，相關商品為境外結構型、境內結構型_台幣、境內結構型_外幣,財管商品部,Num,數字,非PK,,,主數據庫;類別參照;結構型商品資料檔;初期價格2,fbsods;mdm_sec;MDM_SEC;M_RF_SN;LINK_STOCK2_BEGIN_PRICE
59,M_RF_SN,結構型商品資料檔,LINK_STOCK3_BEGIN_PRICE,初期價格3,初期價格3，相關商品為境外結構型、境內結構型_台幣、境內結構型_外幣,財管商品部,Num,數字,非PK,,,主數據庫;類別參照;結構型商品資料檔;初期價格3,fbsods;mdm_sec;MDM_SEC;M_RF_SN;LINK_STOCK3_BEGIN_PRICE
60,M_RF_SN,結構型商品資料檔,LINK_STOCK4_BEGIN_PRICE,初期價格4,初期價格4，相關商品為境外結構型,財管商品部,Num,數字,非PK,,,主數據庫;類別參照;結構型商品資料檔;初期價格4,fbsods;mdm_sec;MDM_SEC;M_RF_SN;LINK_STOCK4_BEGIN_PRICE
61,M_RF_SN,結構型商品資料檔,LINK_STOCK5_BEGIN_PRICE,初期價格5,初期價格5，相關商品為境外結構型,財管商品部,Num,數字,非PK,,,主數據庫;類別參照;結構型商品資料檔;初期價格5,fbsods;mdm_sec;MDM_SEC;M_RF_SN;LINK_STOCK5_BEGIN_PRICE
62,M_RF_SN,結構型商品資料檔,EXEC_PRICE,執行價%,執行價%，相關商品為境外結構型,財管商品部,Num,數字,非PK,,,主數據庫;類別參照;結構型商品資料檔;執行價%,fbsods;mdm_sec;MDM_SEC;M_RF_SN;EXEC_PRICE
63,M_RF_SN,結構型商品資料檔,LOWER_LIMIT_PRICE,下限價%,下限價%，相關商品為境外結構型,財管商品部,Num,數字,非PK,,,主數據庫;類別參照;結構型商品資料檔;下限價%,fbsods;mdm_sec;MDM_SEC;M_RF_SN;LOWER_LIMIT_PRICE
64,M_RF_SN,結構型商品資料檔,TRIGGER_PRICE,觸發價%,觸發價%，相關商品為境外結構型,財管商品部,Num,數字,非PK,,,主數據庫;類別參照;結構型商品資料檔;觸發價%,fbsods;mdm_sec;MDM_SEC;M_RF_SN;TRIGGER_PRICE
65,M_RF_SN,結構型商品資料檔,LINK_STOCK1_STRIKE_PRICE,履約價1,履約價1，相關商品為境內結構型_台幣、境內結構型_外幣,財管商品部,Num,數字,非PK,,,主數據庫;類別參照;結構型商品資料檔;履約價1,fbsods;mdm_sec;MDM_SEC;M_RF_SN;LINK_STOCK1_STRIKE_PRICE
66,M_RF_SN,結構型商品資料檔,LINK_STOCK2_STRIKE_PRICE,履約價2,履約價2，相關商品為境內結構型_台幣、境內結構型_外幣,財管商品部,Num,數字,非PK,,,主數據庫;類別參照;結構型商品資料檔;履約價2,fbsods;mdm_sec;MDM_SEC;M_RF_SN;LINK_STOCK2_STRIKE_PRICE
67,M_RF_SN,結構型商品資料檔,LINK_STOCK3_STRIKE_PRICE,履約價3,履約價3，相關商品為境內結構型_台幣、境內結構型_外幣,財管商品部,Num,數字,非PK,,,主數據庫;類別參照;結構型商品資料檔;履約價3,fbsods;mdm_sec;MDM_SEC;M_RF_SN;LINK_STOCK3_STRIKE_PRICE
68,M_RF_SN,結構型商品資料檔,LINK_STOCK1_URATE,上限價1,上限價1，相關商品為境內結構型_台幣、境內結構型_外幣,財管商品部,Num,數字,非PK,,,主數據庫;類別參照;結構型商品資料檔;上限價1,fbsods;mdm_sec;MDM_SEC;M_RF_SN;LINK_STOCK1_URATE
69,M_RF_SN,結構型商品資料檔,LINK_STOCK2_URATE,上限價2,上限價2，相關商品為境內結構型_台幣、境內結構型_外幣,財管商品部,Num,數字,非PK,,,主數據庫;類別參照;結構型商品資料檔;上限價2,fbsods;mdm_sec;MDM_SEC;M_RF_SN;LINK_STOCK2_URATE
